id,ace_rate
1,4.833333333
2,2
3,4.4
4,4.315789474
5,7
6,8.666666667
7,5.666666667
8,9.375
9,2.05
10,6.5
11,3.416666667
12,1.583333333
13,4
14,2.2
15,7
16,3
17,7.25
18,2
19,6
20,9
21,6
22,7.263157895
23,2.2
24,4.333333333
25,2
26,5.75
27,1.833333333
28,5.333333333
29,2.954545455
30,4.928571429
31,3.166666667
32,6.428571429
33,6
34,5
35,2.846153846
36,2
37,6.923076923
38,0
39,9.666666667
40,4.2
41,0
42,7
43,4
44,4
45,2.818181818
46,2.125
47,2.875
48,9.333333333
49,0
50,9.25
51,4.875
52,7.166666667
53,4.846153846
54,3
55,5.28
56,3.6
57,6.181818182
58,8.533333333
59,6.47826087
60,7.583333333
61,2
62,1
63,3.916666667
64,1.8
65,1.777777778
66,2.523809524
67,4.5
68,12
69,3.714285714
70,4.060606061
71,4.458333333
72,2
73,5.4
74,7.75
75,0.333333333
76,3
77,5.586206897
78,2.923076923
79,2.5
80,10.125
81,3.333333333
82,4
83,2
84,3.523809524
85,3.818181818
86,1.4
87,1
88,3.333333333
89,6.6
90,8.3
91,3
92,1.636363636
93,0
94,2.947368421
95,9
96,1.909090909
97,4.272727273
98,5.5
99,4.115384615
100,2
101,1
102,3.916666667
103,9.96
104,1
105,2.764705882
106,2.333333333
107,5
108,0.666666667
109,4.75
110,2
111,1.545454545
112,3.666666667
113,5.166666667
114,7.5
115,5.375
116,1.333333333
117,1.666666667
118,5.909090909
119,4.75
120,3.4
121,2
122,5.789473684
123,3
124,2.333333333
125,7.523809524
126,4.95
127,4.647058824
128,4.555555556
129,6.941176471
130,9
131,2.333333333
132,2.333333333
133,4.166666667
134,2
135,0.8
136,4.625
137,5.833333333
138,4.263157895
139,3.6
140,2.25
141,3.6
142,1.538461538
143,1.875
144,5
145,0
146,1.666666667
147,2.058823529
148,6.2
149,4.857142857
150,4
151,2.75
152,4.111111111
153,2.529411765
154,6.2
155,1.25
156,1
157,3.541666667
158,7.25
159,12
160,4.5
161,5.263157895
162,3.047619048
163,3.315789474
164,2
165,1.25
166,5.173913043
167,3
168,3
169,3.25
170,5.25
171,3.666666667
172,3.64
173,8.6
174,4.6
175,0
176,0.1
177,2.68
178,1.666666667
179,1
180,1
181,2.176470588
182,6.5
183,4.142857143
184,5.538461538
185,2
186,2.333333333
187,2.125
188,1
189,1.5
190,3
191,5.333333333
192,1
193,10.4375
194,6
195,2.214285714
196,3.5
197,6.5
